species,N[m^-3],Tperp[eV],Tpara/Tperp,source,charge,mass,kind
N:H+,2.3445d8,1.23d-1,1.d0,I,1.d0,1.67262189821d-27,1
N:He+,2.3445d8,1.23d-1,1.d0,I,1.d0,6.64556638280897d-27,2
N:N+,7.0335d9,1.23d-1,1.d0,I,1.d0,2.325779481662744d-26,3
N:O+,2.2395d11,1.23d-1,1.d0,I,1.d0,2.656676762004189d-26,4
N:e-,2.3445d11,1.58d-1,1.d0,I,-1.d0,9.1093837015d-31,5
S:H+,2.3445d8,1.23d-1,1.d0,M,1.d0,1.67262189821d-27,1
S:He+,2.3445d8,1.23d-1,1.d0,M,1.d0,6.64556638280897d-27,2
S:N+,7.0335d9,1.23d-1,1.d0,M,1.d0,2.325779481662744d-26,3
S:O+,2.2395d11,1.23d-1,1.d0,M,1.d0,2.656676762004189d-26,4
S:e-,2.3445d11,1.58d-1,1.d0,M,-1.d0,9.1093837015d-31,5
