grid,phi_e[V],distance[m],distance[RE]
1,0.0000000000000E+00,0.0000000000000E+00,0.0000000000000E+00
2,0.0000000000000E+00,6.3710000000000E+05,1.0000000000000E-01
3,0.0000000000000E+00,1.2742000000000E+06,2.0000000000000E-01
4,0.0000000000000E+00,1.9113000000000E+06,3.0000000000000E-01
5,0.0000000000000E+00,2.5484000000000E+06,4.0000000000000E-01
6,0.0000000000000E+00,3.1855000000000E+06,5.0000000000000E-01
7,0.0000000000000E+00,3.8226000000000E+06,6.0000000000000E-01
8,0.0000000000000E+00,4.4597000000000E+06,7.0000000000000E-01
9,0.0000000000000E+00,5.0968000000000E+06,8.0000000000000E-01
10,0.0000000000000E+00,5.7339000000000E+06,9.0000000000000E-01
11,0.0000000000000E+00,6.3710000000000E+06,1.0000000000000E+00
12,0.0000000000000E+00,7.0081000000000E+06,1.1000000000000E+00
13,0.0000000000000E+00,7.6452000000000E+06,1.2000000000000E+00
14,0.0000000000000E+00,8.2823000000000E+06,1.3000000000000E+00
15,0.0000000000000E+00,8.9194000000000E+06,1.4000000000000E+00
16,0.0000000000000E+00,9.5565000000000E+06,1.5000000000000E+00
17,0.0000000000000E+00,1.0193600000000E+07,1.6000000000000E+00
18,0.0000000000000E+00,1.0830700000000E+07,1.7000000000000E+00
19,0.0000000000000E+00,1.1467800000000E+07,1.8000000000000E+00
20,0.0000000000000E+00,1.2104900000000E+07,1.9000000000000E+00
21,0.0000000000000E+00,1.2742000000000E+07,2.0000000000000E+00
22,0.0000000000000E+00,1.3379100000000E+07,2.1000000000000E+00
23,0.0000000000000E+00,1.4016200000000E+07,2.2000000000000E+00
24,0.0000000000000E+00,1.4653300000000E+07,2.3000000000000E+00
25,0.0000000000000E+00,1.5290400000000E+07,2.4000000000000E+00
26,0.0000000000000E+00,1.5927500000000E+07,2.5000000000000E+00
27,0.0000000000000E+00,1.6564600000000E+07,2.6000000000000E+00
28,0.0000000000000E+00,1.7201700000000E+07,2.7000000000000E+00
29,0.0000000000000E+00,1.7838800000000E+07,2.8000000000000E+00
30,0.0000000000000E+00,1.8475900000000E+07,2.9000000000000E+00
31,0.0000000000000E+00,1.9113000000000E+07,3.0000000000000E+00
32,0.0000000000000E+00,1.9750100000000E+07,3.1000000000000E+00
33,0.0000000000000E+00,2.0387200000000E+07,3.2000000000000E+00
34,0.0000000000000E+00,2.1024300000000E+07,3.3000000000000E+00
35,0.0000000000000E+00,2.1661400000000E+07,3.4000000000000E+00
36,0.0000000000000E+00,2.2298500000000E+07,3.5000000000000E+00
37,0.0000000000000E+00,2.2935600000000E+07,3.6000000000000E+00
38,0.0000000000000E+00,2.3572700000000E+07,3.7000000000000E+00
39,0.0000000000000E+00,2.4209800000000E+07,3.8000000000000E+00
40,0.0000000000000E+00,2.4846900000000E+07,3.9000000000000E+00
41,0.0000000000000E+00,2.5484000000000E+07,4.0000000000000E+00
42,0.0000000000000E+00,2.6121100000000E+07,4.1000000000000E+00
43,0.0000000000000E+00,2.6758200000000E+07,4.2000000000000E+00
44,0.0000000000000E+00,2.7395300000000E+07,4.3000000000000E+00
45,0.0000000000000E+00,2.8032400000000E+07,4.4000000000000E+00
46,0.0000000000000E+00,2.8669500000000E+07,4.5000000000000E+00
47,0.0000000000000E+00,2.9306600000000E+07,4.6000000000000E+00
48,0.0000000000000E+00,2.9943700000000E+07,4.7000000000000E+00
49,0.0000000000000E+00,3.0580800000000E+07,4.8000000000000E+00
50,0.0000000000000E+00,3.1217900000000E+07,4.9000000000000E+00
51,0.0000000000000E+00,3.1855000000000E+07,5.0000000000000E+00
52,0.0000000000000E+00,3.2492100000000E+07,5.1000000000000E+00
53,0.0000000000000E+00,3.3129200000000E+07,5.2000000000000E+00
54,0.0000000000000E+00,3.3766300000000E+07,5.3000000000000E+00
55,0.0000000000000E+00,3.4403400000000E+07,5.4000000000000E+00
56,0.0000000000000E+00,3.5040500000000E+07,5.5000000000000E+00
57,0.0000000000000E+00,3.5677600000000E+07,5.6000000000000E+00
58,0.0000000000000E+00,3.6314700000000E+07,5.7000000000000E+00
59,0.0000000000000E+00,3.6951800000000E+07,5.8000000000000E+00
