grid,phi_e[V],distance[m],distance[Rj]
1,0.00000000000000E+00,1.82098302193330E+06,2.54711439312552E-02
2,0.00000000000000E+00,9.88220771638443E+06,1.38228161422039E-01
3,0.00000000000000E+00,1.79434324108356E+07,2.50985178912824E-01
4,0.00000000000000E+00,2.60046571052867E+07,3.63742196403607E-01
5,0.00000000000000E+00,3.40658817997378E+07,4.76499213894391E-01
6,0.00000000000000E+00,4.21271064941889E+07,5.89256231385175E-01
7,0.00000000000000E+00,5.01883311886401E+07,7.02013248875960E-01
8,0.00000000000000E+00,5.82495558830912E+07,8.14770266366743E-01
9,0.00000000000000E+00,6.63107805775423E+07,9.27527283857527E-01
10,0.00000000000000E+00,7.43720052719935E+07,1.04028430134831E+00
11,0.00000000000000E+00,8.24332299664446E+07,1.15304131883910E+00
12,0.00000000000000E+00,9.04944546608957E+07,1.26579833632988E+00
13,0.00000000000000E+00,9.85556793553468E+07,1.37855535382066E+00
14,0.00000000000000E+00,1.06616904049798E+08,1.49131237131145E+00
15,0.00000000000000E+00,1.14678128744249E+08,1.60406938880223E+00
16,0.00000000000000E+00,1.22739353438700E+08,1.71682640629301E+00
17,0.00000000000000E+00,1.30800578133151E+08,1.82958342378379E+00
18,0.00000000000000E+00,1.38861802827602E+08,1.94234044127458E+00
19,0.00000000000000E+00,1.46923027522054E+08,2.05509745876537E+00
20,0.00000000000000E+00,1.54984252216505E+08,2.16785447625615E+00
21,0.00000000000000E+00,1.63045476910956E+08,2.28061149374694E+00
22,0.00000000000000E+00,1.71106701605407E+08,2.39336851123772E+00
23,0.00000000000000E+00,1.79167926299858E+08,2.50612552872850E+00
24,0.00000000000000E+00,1.87229150994309E+08,2.61888254621928E+00
25,0.00000000000000E+00,1.95290375688760E+08,2.73163956371007E+00
26,0.00000000000000E+00,2.03351600383211E+08,2.84439658120085E+00
27,0.00000000000000E+00,2.11412825077663E+08,2.95715359869164E+00
28,0.00000000000000E+00,2.19474049772114E+08,3.06991061618243E+00
29,0.00000000000000E+00,2.27535274466565E+08,3.18266763367321E+00
30,0.00000000000000E+00,2.35596499161016E+08,3.29542465116399E+00
31,0.00000000000000E+00,2.43657723855467E+08,3.40818166865477E+00
32,0.00000000000000E+00,2.51718948549918E+08,3.52093868614555E+00
33,0.00000000000000E+00,2.59780173244369E+08,3.63369570363634E+00
34,0.00000000000000E+00,2.67841397938820E+08,3.74645272112712E+00
35,0.00000000000000E+00,2.75902622633272E+08,3.85920973861792E+00
36,0.00000000000000E+00,2.83963847327723E+08,3.97196675610870E+00
37,0.00000000000000E+00,2.92025072022174E+08,4.08472377359948E+00
38,0.00000000000000E+00,3.00086296716625E+08,4.19748079109026E+00
39,0.00000000000000E+00,3.08147521411076E+08,4.31023780858104E+00
40,0.00000000000000E+00,3.16208746105527E+08,4.42299482607183E+00
41,0.00000000000000E+00,3.24269970799978E+08,4.53575184356261E+00
42,0.00000000000000E+00,3.32331195494430E+08,4.64850886105340E+00
43,0.00000000000000E+00,3.40392420188881E+08,4.76126587854419E+00
44,0.00000000000000E+00,3.48453644883332E+08,4.87402289603497E+00
45,0.00000000000000E+00,3.56514869577783E+08,4.98677991352575E+00
46,0.00000000000000E+00,3.64576094272234E+08,5.09953693101653E+00
47,0.00000000000000E+00,3.72637318966685E+08,5.21229394850732E+00
48,0.00000000000000E+00,3.80698543661137E+08,5.32505096599811E+00
49,0.00000000000000E+00,3.88759768355588E+08,5.43780798348889E+00
50,0.00000000000000E+00,3.96820993050039E+08,5.55056500097968E+00
51,0.00000000000000E+00,4.04882217744490E+08,5.66332201847046E+00
52,0.00000000000000E+00,4.12943442438941E+08,5.77607903596124E+00
53,0.00000000000000E+00,4.21004667133392E+08,5.88883605345202E+00
54,0.00000000000000E+00,4.29065891827843E+08,6.00159307094281E+00
55,0.00000000000000E+00,4.37127116522295E+08,6.11435008843360E+00
56,0.00000000000000E+04,4.45188341216746E+08,6.22710710592438E+00
57,0.00000000000000E+04,4.53249565911197E+08,6.33986412341517E+00
58,0.00000000000000E+04,4.61310790605648E+08,6.45262114090595E+00
59,0.00000000000000E+04,4.69372015300099E+08,6.56537815839673E+00
60,0.00000000000000E+04,4.77433239994550E+08,6.67813517588751E+00
61,0.00000000000000E+04,4.85494464689002E+08,6.79089219337831E+00
62,0.00000000000000E+04,4.93555689383453E+08,6.90364921086909E+00
63,0.00000000000000E+04,4.94059515926856E+08,6.91069652446226E+00
64,0.00000000000000E+04,4.94563342470259E+08,6.91774383805543E+00
65,0.00000000000000E+04,4.95067169013662E+08,6.92479115164860E+00
66,0.00000000000000E+04,4.95570995557065E+08,6.93183846524178E+00
67,0.00000000000000E+04,4.96074822100468E+08,6.93888577883495E+00
68,3.00000000000000E+04,4.96578648643871E+08,6.94593309242812E+00
69,3.00000000000000E+04,4.97082475187274E+08,6.95298040602129E+00
70,3.00000000000000E+04,4.97586301730677E+08,6.96002771961446E+00
71,3.00000000000000E+04,4.98090128274080E+08,6.96707503320763E+00
72,3.00000000000000E+04,4.98593954817483E+08,6.97412234680080E+00
73,3.00000000000000E+04,4.99097781360886E+08,6.98116966039397E+00
74,3.00000000000000E+04,4.99601607904289E+08,6.98821697398715E+00
75,3.00000000000000E+04,5.00105434447692E+08,6.99526428758032E+00
76,3.00000000000000E+04,5.00609260991095E+08,7.00231160117349E+00
77,3.00000000000000E+04,5.01113087534498E+08,7.00935891476666E+00
78,3.00000000000000E+04,5.01616914077901E+08,7.01640622835983E+00
79,3.00000000000000E+04,5.02120740621303E+08,7.02345354195299E+00
80,3.00000000000000E+04,5.02624567164706E+08,7.03050085554616E+00
81,3.00000000000000E+04,5.03128393708109E+08,7.03754816913933E+00
82,3.00000000000000E+04,5.03632220251512E+08,7.04459548273250E+00
83,3.00000000000000E+04,5.04136046794915E+08,7.05164279632567E+00
84,3.00000000000000E+04,5.04639873338318E+08,7.05869010991884E+00
85,3.00000000000000E+04,5.05143699881721E+08,7.06573742351202E+00
86,3.00000000000000E+04,5.05647526425124E+08,7.07278473710519E+00
87,3.00000000000000E+04,5.06151352968527E+08,7.07983205069836E+00
88,3.00000000000000E+04,5.06655179511930E+08,7.08687936429153E+00
89,3.00000000000000E+04,5.07159006055333E+08,7.09392667788470E+00
90,3.00000000000000E+04,5.07662832598736E+08,7.10097399147787E+00
91,3.00000000000000E+04,5.08166659142139E+08,7.10802130507104E+00
92,3.00000000000000E+04,5.08670485685542E+08,7.11506861866421E+00
93,3.00000000000000E+04,5.09174312228945E+08,7.12211593225739E+00
94,3.00000000000000E+04,5.09678138772348E+08,7.12916324585056E+00
