grid,phi_e[V],distance[m],distance[RE]
1,0.0000000000000E+00,-2.8161351860249E+07,-4.4202404426698E+00
2,-1.0000000000000E-01,-2.7902990834008E+07,-4.3796877780581E+00
3,-2.0000000000000E-01,-2.7644629807768E+07,-4.3391351134465E+00
4,-3.0000000000000E-01,-2.7386268781527E+07,-4.2985824488348E+00
5,-4.0000000000000E-01,-2.7127907755286E+07,-4.2580297842232E+00
6,-5.0000000000000E-01,-2.6869546729045E+07,-4.2174771196115E+00
7,-6.0000000000000E-01,-2.6611185702804E+07,-4.1769244549999E+00
8,-7.0000000000000E-01,-2.6352824676563E+07,-4.1363717903882E+00
9,-8.0000000000000E-01,-2.6094463650323E+07,-4.0958191257766E+00
10,-9.0000000000000E-01,-2.5836102624082E+07,-4.0552664611649E+00
11,-1.0000000000000E+00,-2.5577741597841E+07,-4.0147137965533E+00
12,-1.0010000000000E+00,-2.5319380571600E+07,-3.9741611319416E+00
13,-1.0020000000000E+00,-2.5061019545359E+07,-3.9336084673300E+00
14,-1.0030000000000E+00,-2.4802658519119E+07,-3.8930558027183E+00
15,-1.0040000000000E+00,-2.4544297492878E+07,-3.8525031381067E+00
16,-1.0050000000000E+00,-2.4285936466637E+07,-3.8119504734950E+00
17,-1.0060000000000E+00,-2.4027575440396E+07,-3.7713978088834E+00
18,-1.0070000000000E+00,-2.3769214414155E+07,-3.7308451442717E+00
19,-1.0080000000000E+00,-2.3510853387914E+07,-3.6902924796601E+00
20,-1.0090000000000E+00,-2.3252492361674E+07,-3.6497398150484E+00
21,-1.0100000000000E+00,-2.2994131335433E+07,-3.6091871504368E+00
22,-1.0110000000000E+00,-2.2735770309192E+07,-3.5686344858251E+00
23,-1.0120000000000E+00,-2.2477409282951E+07,-3.5280818212135E+00
24,-1.0130000000000E+00,-2.2219048256710E+07,-3.4875291566018E+00
25,-1.0140000000000E+00,-2.1960687230470E+07,-3.4469764919902E+00
26,-1.0150000000000E+00,-2.1702326204229E+07,-3.4064238273785E+00
27,-1.0160000000000E+00,-2.1443965177988E+07,-3.3658711627669E+00
28,-1.0170000000000E+00,-2.1185604151747E+07,-3.3253184981552E+00
29,-1.0180000000000E+00,-2.0927243125506E+07,-3.2847658335436E+00
30,-1.0190000000000E+00,-2.0668882099265E+07,-3.2442131689319E+00
31,-1.0200000000000E+00,-2.0410521073025E+07,-3.2036605043203E+00
32,-1.0210000000000E+00,-2.0152160046784E+07,-3.1631078397086E+00
33,-1.0220000000000E+00,-1.9893799020543E+07,-3.1225551750970E+00
34,-1.0230000000000E+00,-1.9635437994302E+07,-3.0820025104853E+00
35,-1.0240000000000E+00,-1.9377076968061E+07,-3.0414498458737E+00
36,-1.0250000000000E+00,-1.9118715941821E+07,-3.0008971812620E+00
