grid,phi_e[V],distance[m],distance[RE]
1,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2,-2.11468836789666E-01,5.00000000000000E+05,7.84806152880000E-02
3,-1.12508035825003E+01,1.00000000000000E+06,1.56961230576000E-01
4,-1.12214447982600E+01,1.50000000000000E+06,2.35441845864000E-01
5,-1.16314601225741E+01,2.00000000000000E+06,3.13922461152000E-01
6,-1.02245382039996E+01,2.50000000000000E+06,3.92403076440000E-01
7,-8.23936926040638E+00,3.00000000000000E+06,4.70883691728000E-01
8,-5.83325416105839E+00,3.50000000000000E+06,5.49364307016000E-01
9,-4.13720872997453E+00,4.00000000000000E+06,6.27844922304000E-01
10,-2.19923004716049E+00,4.50000000000000E+06,7.06325537592000E-01
11,-2.61251364346471E-01,5.00000000000000E+06,7.84806152880000E-01
12,1.67672731846753E+00,5.50000000000000E+06,8.63286768168000E-01
13,3.61470600128163E+00,6.00000000000000E+06,9.41767383456000E-01
14,5.55268468409563E+00,6.50000000000000E+06,1.02024799874000E+00
15,7.49066336690973E+00,7.00000000000000E+06,1.09872861403000E+00
16,9.42864204972373E+00,7.50000000000000E+06,1.17720922932000E+00
17,1.13666207325377E+01,8.00000000000000E+06,1.25568984461000E+00
18,1.33045994153518E+01,8.50000000000000E+06,1.33417045990000E+00
19,1.52425780981658E+01,9.00000000000000E+06,1.41265107518000E+00
20,1.71805567809798E+01,9.50000000000000E+06,1.49113169047000E+00
21,1.91185354637939E+01,1.00000000000000E+07,1.56961230576000E+00
22,2.10565141466079E+01,1.05000000000000E+07,1.64809292105000E+00
23,2.29944928294219E+01,1.10000000000000E+07,1.72657353634000E+00
24,2.49324715122360E+01,1.15000000000000E+07,1.80505415162000E+00
25,2.68704501950500E+01,1.20000000000000E+07,1.88353476691000E+00
26,2.88084288778640E+01,1.25000000000000E+07,1.96201538220000E+00
27,3.07464075606781E+01,1.30000000000000E+07,2.04049599749000E+00
28,3.26843862434921E+01,1.35000000000000E+07,2.11897661278000E+00
29,3.46223649263061E+01,1.40000000000000E+07,2.19745722806000E+00
30,3.65603436091202E+01,1.42053091400000E+07,2.22968280333000E+00
31,3.84983222919342E+01,1.44106182800000E+07,2.26190837859000E+00
32,4.04363009747483E+01,1.46159274200000E+07,2.29413395385000E+00
33,4.23742796575623E+01,1.48212365600000E+07,2.32635952912000E+00
34,4.43122583403763E+01,1.50265457000000E+07,2.35858510438000E+00
35,4.62502370231904E+01,1.52318548400000E+07,2.39081067964000E+00
36,4.81882157060044E+01,1.54371639800000E+07,2.42303625491000E+00
37,5.01261943888184E+01,1.56424731200000E+07,2.45526183017000E+00
38,5.20641730716325E+01,1.58477822600000E+07,2.48748740543000E+00
39,5.40021517544465E+01,1.60530914000000E+07,2.51971298069000E+00
40,5.59401304372605E+01,1.62584005400000E+07,2.55193855596000E+00
41,5.78781091200746E+01,1.64637096800000E+07,2.58416413122000E+00
42,5.98160878028886E+01,1.66690188200000E+07,2.61638970648000E+00
43,6.17540664857026E+01,1.68743279600000E+07,2.64861528175000E+00
44,6.36920451685167E+01,1.70796371000000E+07,2.68084085701000E+00
45,6.56300238513307E+01,1.72849462400000E+07,2.71306643227000E+00
46,6.75680025341447E+01,1.74902553800000E+07,2.74529200753000E+00
47,6.95059812169588E+01,1.76955645200000E+07,2.77751758280000E+00
48,7.14439598997728E+01,1.79008736600000E+07,2.80974315806000E+00
49,7.33819385825869E+01,1.81061828000000E+07,2.84196873332000E+00
50,7.53199172654009E+01,1.83114919400000E+07,2.87419430859000E+00
51,7.72578959482149E+01,1.85168010800000E+07,2.90641988385000E+00
52,7.91958746310290E+01,1.87221102200000E+07,2.93864545911000E+00
53,8.11338533138430E+01,1.89274193600000E+07,2.97087103437000E+00
54,8.30718319966570E+01,1.91327285000000E+07,3.00309660964000E+00
55,8.50098106794711E+01,1.93380376400000E+07,3.03532218490000E+00
56,8.69477893622851E+01,1.95433467800000E+07,3.06754776016000E+00
57,8.88857680450993E+01,1.97486559200000E+07,3.09977333543000E+00
58,9.08237467279133E+01,1.99539650600000E+07,3.13199891069000E+00
59,9.27617254107273E+01,2.01592742000000E+07,3.16422448595000E+00
60,9.46997040935413E+01,2.03645833400000E+07,3.19645006121000E+00
61,9.66376827763553E+01,2.05698924800000E+07,3.22867563648000E+00
62,9.85756614591693E+01,2.07752016200000E+07,3.26090121174000E+00
63,1.00513640141983E+02,2.09805107600000E+07,3.29312678700000E+00
64,1.02451618824797E+02,2.11858199000000E+07,3.32535236227000E+00
65,1.04389597507611E+02,2.13911290400000E+07,3.35757793753000E+00
66,1.06327576190425E+02,2.15964381800000E+07,3.38980351279000E+00
67,1.08265554873239E+02,2.18017473200000E+07,3.42202908806000E+00
68,1.10203533556053E+02,2.20070564600000E+07,3.45425466332000E+00
69,1.12141512238867E+02,2.22123656000000E+07,3.48648023858000E+00
70,1.14079490921681E+02,2.24176747400000E+07,3.51870581384000E+00
71,1.16017469604495E+02,2.26229838800000E+07,3.55093138911000E+00
72,9.99896143361587E+03,2.28282930200000E+07,3.58315696437000E+00
73,9.99914857273585E+03,2.30336021600000E+07,3.61538253963000E+00
74,9.99929472910469E+03,2.32389113000000E+07,3.64760811490000E+00
75,9.99942641169340E+03,2.34442204400000E+07,3.67983369016000E+00
76,9.99955928949664E+03,2.36495295800000E+07,3.71205926542000E+00
77,9.99969790437795E+03,2.38548387200000E+07,3.74428484068000E+00
78,9.99984494871531E+03,2.40601478600000E+07,3.77651041595000E+00
79,1.00000000000000E+04,2.42654570000000E+07,3.80873599121000E+00
