grid,phi_e[V],distance[m],distance[RE]
1,0.0000000000000E+00,0.0000000000000E+00,0.0000000000000E+00
2,-5.3357481743327E-03,1.2918051312041E+05,2.0276332305825E-02
3,-1.0480284944969E-02,2.5836102624082E+05,4.0552664611650E-02
4,-1.5443594026969E-02,3.8754153936123E+05,6.0828996917475E-02
5,-2.0234973405376E-02,5.1672205248164E+05,8.1105329223299E-02
6,-2.4863093183381E-02,6.4590256560205E+05,1.0138166152912E-01
7,-2.9336047671854E-02,7.7508307872246E+05,1.2165799383495E-01
8,-3.3661402378195E-02,9.0426359184287E+05,1.4193432614077E-01
9,-3.7846236467785E-02,1.0334441049633E+06,1.6221065844660E-01
10,-4.1897181198973E-02,1.1626246180837E+06,1.8248699075242E-01
11,-4.5820454770104E-02,1.2918051312041E+06,2.0276332305825E-01
12,-4.9621893963367E-02,1.4209856443245E+06,2.2303965536407E-01
13,-5.3306982923804E-02,1.5501661574449E+06,2.4331598766990E-01
14,-5.6880879371576E-02,1.6793466705653E+06,2.6359231997572E-01
15,-6.0348438510652E-02,1.8085271836857E+06,2.8386865228155E-01
16,-6.3714234866703E-02,1.9377076968062E+06,3.0414498458737E-01
17,-6.6982582260464E-02,2.0668882099266E+06,3.2442131689320E-01
18,-7.0157552099717E-02,2.1960687230470E+06,3.4469764919902E-01
19,-7.3242990152711E-02,2.3252492361674E+06,3.6497398150485E-01
20,-7.6242531948112E-02,2.4544297492878E+06,3.8525031381067E-01
21,-7.9159616930930E-02,2.5836102624082E+06,4.0552664611650E-01
22,-8.1997501490107E-02,2.7127907755286E+06,4.2580297842232E-01
23,-8.4759270961322E-02,2.8419712886490E+06,4.4607931072815E-01
24,-8.7447850697844E-02,2.9711518017694E+06,4.6635564303397E-01
25,-9.0066016292781E-02,3.1003323148898E+06,4.8663197533980E-01
26,-9.2616403027669E-02,3.2295128280103E+06,5.0690830764562E-01
27,-9.5101514614834E-02,3.3586933411307E+06,5.2718463995145E-01
28,-9.7523731294411E-02,3.4878738542511E+06,5.4746097225727E-01
29,-9.9885317340866E-02,3.6170543673715E+06,5.6773730456310E-01
30,-1.0218842802870E-01,3.7462348804919E+06,5.8801363686892E-01
31,-1.0443511610226E-01,3.8754153936123E+06,6.0828996917475E-01
32,-1.0662733779029E-01,4.0045959067327E+06,6.2856630148057E-01
33,-1.0876695840234E-01,4.1337764198531E+06,6.4884263378640E-01
34,-1.1085575754032E-01,4.2629569329735E+06,6.6911896609222E-01
35,-1.1289543395593E-01,4.3921374460939E+06,6.8939529839805E-01
36,-1.1488761008166E-01,4.5213179592144E+06,7.0967163070387E-01
37,-1.1683383626062E-01,4.6504984723348E+06,7.2994796300969E-01
38,-1.1873559469839E-01,4.7796789854552E+06,7.5022429531552E-01
39,-1.2059430315792E-01,4.9088594985756E+06,7.7050062762134E-01
40,-1.2241131841677E-01,5.0380400116960E+06,7.9077695992717E-01
41,-1.2418793950436E-01,5.1672205248164E+06,8.1105329223299E-01
42,-1.2592541073537E-01,5.2964010379368E+06,8.3132962453882E-01
43,-1.2762492455414E-01,5.4255815510572E+06,8.5160595684464E-01
44,-1.2928762420361E-01,5.5547620641776E+06,8.7188228915047E-01
45,-1.3091460623143E-01,5.6839425772980E+06,8.9215862145629E-01
46,-1.3250692284449E-01,5.8131230904185E+06,9.1243495376212E-01
47,-1.3406558412276E-01,5.9423036035389E+06,9.3271128606794E-01
48,-1.3559156010189E-01,6.0714841166593E+06,9.5298761837377E-01
49,-1.3708578273369E-01,6.2006646297797E+06,9.7326395067959E-01
50,-1.3854914773275E-01,6.3298451429001E+06,9.9354028298542E-01
51,-1.3998251631685E-01,6.4590256560205E+06,1.0138166152912E+00
52,-1.4138671684814E-01,6.5882061691409E+06,1.0340929475971E+00
53,-1.4276254638182E-01,6.7173866822613E+06,1.0543692799029E+00
54,-1.4411077212808E-01,6.8465671953817E+06,1.0746456122087E+00
55,-1.4543213283315E-01,6.9757477085021E+06,1.0949219445145E+00
