grid,phi_e[V],distance[m],distance[RE]
1,0.00000000000000E+00,0.0000000000000E+00,0.0000000000000E+00
2,4.25274633571126E-05,6.3710000000000E+05,1.0000000000000E-01
3,1.70026351776865E-04,1.2742000000000E+06,2.0000000000000E-01
4,3.82648710495355E-04,1.9113000000000E+06,3.0000000000000E-01
5,8.78328006060087E-03,2.5484000000000E+06,4.0000000000000E-01
6,1.18830913998920E-02,3.1855000000000E+06,5.0000000000000E-01
7,1.97998089646587E-02,3.8226000000000E+06,6.0000000000000E-01
8,3.62862753875834E-02,4.4597000000000E+06,7.0000000000000E-01
9,5.42550357898827E-02,5.0968000000000E+06,8.0000000000000E-01
10,5.48751807535693E-02,5.7339000000000E+06,9.0000000000000E-01
11,5.54953257172559E-02,6.3710000000000E+06,1.0000000000000E+00
12,5.96168650284170E-02,7.0081000000000E+06,1.1000000000000E+00
13,5.96380849916064E-02,7.6452000000000E+06,1.2000000000000E+00
14,5.96593049547959E-02,8.2823000000000E+06,1.3000000000000E+00
15,6.54526361582868E-02,8.9194000000000E+06,1.4000000000000E+00
16,7.29332568443038E-02,9.5565000000000E+06,1.5000000000000E+00
17,8.08086900488289E-02,1.0193600000000E+07,1.6000000000000E+00
18,8.91105063880468E-02,1.0830700000000E+07,1.7000000000000E+00
19,9.79827374901523E-02,1.1467800000000E+07,1.8000000000000E+00
20,1.07354018183129E-01,1.2104900000000E+07,1.9000000000000E+00
21,1.17391139820782E-01,1.2742000000000E+07,2.0000000000000E+00
22,1.27943659951155E-01,1.3379100000000E+07,2.1000000000000E+00
23,1.39012787821472E-01,1.4016200000000E+07,2.2000000000000E+00
24,1.50599849903245E-01,1.4653300000000E+07,2.3000000000000E+00
25,1.62707079859838E-01,1.5290400000000E+07,2.4000000000000E+00
26,1.75336650751460E-01,1.5927500000000E+07,2.5000000000000E+00
27,1.88491120425398E-01,1.6564600000000E+07,2.6000000000000E+00
28,2.02173129902741E-01,1.7201700000000E+07,2.7000000000000E+00
29,2.16385907285012E-01,1.7838800000000E+07,2.8000000000000E+00
30,2.31135773436134E-01,1.8475900000000E+07,2.9000000000000E+00
31,2.46424494136594E-01,1.9113000000000E+07,3.0000000000000E+00
32,2.62257857662123E-01,1.9750100000000E+07,3.1000000000000E+00
33,2.78641430542456E-01,2.0387200000000E+07,3.2000000000000E+00
34,2.95582116188974E-01,2.1024300000000E+07,3.3000000000000E+00
35,3.13086269692732E-01,2.1661400000000E+07,3.4000000000000E+00
36,3.31163013434496E-01,2.2298500000000E+07,3.5000000000000E+00
37,3.49819808538809E-01,2.2935600000000E+07,3.6000000000000E+00
38,3.69068068546760E-01,2.3572700000000E+07,3.7000000000000E+00
39,3.88917468173444E-01,2.4209800000000E+07,3.8000000000000E+00
40,4.09380860717852E-01,2.4846900000000E+07,3.9000000000000E+00
41,4.30471567843833E-01,2.5484000000000E+07,4.0000000000000E+00
42,4.52204138761239E-01,2.6121100000000E+07,4.1000000000000E+00
43,4.74594797273925E-01,2.6758200000000E+07,4.2000000000000E+00
44,4.97659702015075E-01,2.7395300000000E+07,4.3000000000000E+00
45,5.21421287798553E-01,2.8032400000000E+07,4.4000000000000E+00
46,5.45900726012813E-01,2.8669500000000E+07,4.5000000000000E+00
47,5.71114833026447E-01,2.9306600000000E+07,4.6000000000000E+00
48,5.97104493493341E-01,2.9943700000000E+07,4.7000000000000E+00
49,6.23879750209635E-01,3.0580800000000E+07,4.8000000000000E+00
50,6.51460347353811E-01,3.1217900000000E+07,4.9000000000000E+00
51,6.79926529474270E-01,3.1855000000000E+07,5.0000000000000E+00
52,7.09263454756889E-01,3.2492100000000E+07,5.1000000000000E+00
53,7.39521971014607E-01,3.3129200000000E+07,5.2000000000000E+00
54,7.70741619222510E-01,3.3766300000000E+07,5.3000000000000E+00
55,8.02961816016287E-01,3.4403400000000E+07,5.4000000000000E+00
56,8.36223923343273E-01,3.5040500000000E+07,5.5000000000000E+00
57,8.70574197937304E-01,3.5677600000000E+07,5.6000000000000E+00
58,9.06055607873888E-01,3.6314700000000E+07,5.7000000000000E+00
59,9.42717589223553E-01,3.6951800000000E+07,5.8000000000000E+00
60,9.68600658191047E-01,3.7588900000000E+07,5.9000000000000E+00
61,1.02014239914255E+00,3.8226000000000E+07,6.0000000000000E+00
62,1.04811004032434E+00,3.8863100000000E+07,6.1000000000000E+00
63,1.08994670011427E+00,3.9500200000000E+07,6.2000000000000E+00
64,1.14644660452777E+00,4.0137300000000E+07,6.3000000000000E+00
65,1.17815062736391E+00,4.0774400000000E+07,6.4000000000000E+00
66,1.23819349799755E+00,4.1411500000000E+07,6.5000000000000E+00
67,1.27216654317873E+00,4.2048600000000E+07,6.6000000000000E+00
68,1.32195631823206E+00,4.2685700000000E+07,6.7000000000000E+00
69,1.38841490223167E+00,4.3322800000000E+07,6.8000000000000E+00
70,1.44206532889288E+00,4.3959900000000E+07,6.9000000000000E+00
71,1.49765886264420E+00,4.4597000000000E+07,7.0000000000000E+00
72,1.55528265386197E+00,4.5234100000000E+07,7.1000000000000E+00
73,1.61493512896901E+00,4.5871200000000E+07,7.2000000000000E+00
