grid,phi_e[V],distance[m],distance[RE]
1,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2,1.12230459130918E-06,6.37100000000000E+05,1.00000000000000E-01
3,1.13417080697059E-06,1.27420000000000E+06,2.00000000000000E-01
4,1.13728484131639E-06,1.91130000000000E+06,3.00000000000000E-01
5,2.53020936267959E-06,2.54840000000000E+06,4.00000000000000E-01
6,6.47393030284831E-06,3.18550000000000E+06,5.00000000000000E-01
7,5.00168908522923E-05,3.82260000000000E+06,6.00000000000000E-01
8,4.73703415670239E-03,4.45970000000000E+06,7.00000000000000E-01
9,6.68541679873959E-03,5.09680000000000E+06,8.00000000000000E-01
10,1.77521092082891E-02,5.73390000000000E+06,9.00000000000000E-01
11,3.03913832096849E-02,6.37100000000000E+06,1.00000000000000E+00
12,3.06645055111104E-02,7.00810000000000E+06,1.10000000000000E+00
13,4.54172967536650E-02,7.64520000000000E+06,1.20000000000000E+00
14,6.03374301942720E-02,8.28230000000000E+06,1.30000000000000E+00
15,6.09405100679111E-02,8.91940000000000E+06,1.40000000000000E+00
16,6.40529030013999E-02,9.55650000000000E+06,1.50000000000000E+00
17,6.64057451318798E-02,1.01936000000000E+07,1.60000000000000E+00
18,6.70689134488619E-02,1.08307000000000E+07,1.70000000000000E+00
19,6.80867775472064E-02,1.14678000000000E+07,1.80000000000000E+00
20,6.89458223306365E-02,1.21049000000000E+07,1.90000000000000E+00
21,7.16150051534092E-02,1.27420000000000E+07,2.00000000000000E+00
22,7.51078404872665E-02,1.33791000000000E+07,2.10000000000000E+00
23,7.72866060893251E-02,1.40162000000000E+07,2.20000000000000E+00
24,7.80798718068464E-02,1.46533000000000E+07,2.30000000000000E+00
25,7.86986335394756E-02,1.52904000000000E+07,2.40000000000000E+00
26,7.88654626276973E-02,1.59275000000000E+07,2.50000000000000E+00
27,7.96467963322662E-02,1.65646000000000E+07,2.60000000000000E+00
28,8.18209394281602E-02,1.72017000000000E+07,2.70000000000000E+00
29,8.56558218059898E-02,1.78388000000000E+07,2.80000000000000E+00
30,9.17933734436025E-02,1.84759000000000E+07,2.90000000000000E+00
31,9.61849684047372E-02,1.91130000000000E+07,3.00000000000000E+00
32,1.01781060279873E-01,1.97501000000000E+07,3.10000000000000E+00
33,1.06745459608932E-01,2.03872000000000E+07,3.20000000000000E+00
34,1.12640731762732E-01,2.10243000000000E+07,3.30000000000000E+00
35,1.18726773918655E-01,2.16614000000000E+07,3.40000000000000E+00
36,1.25750945390922E-01,2.22985000000000E+07,3.50000000000000E+00
37,1.33165931823377E-01,2.29356000000000E+07,3.60000000000000E+00
38,1.39550874842178E-01,2.35727000000000E+07,3.70000000000000E+00
39,1.47406733988622E-01,2.42098000000000E+07,3.80000000000000E+00
40,1.55786517402003E-01,2.48469000000000E+07,3.90000000000000E+00
41,1.63579972136373E-01,2.54840000000000E+07,4.00000000000000E+00
42,1.71764635982456E-01,2.61211000000000E+07,4.10000000000000E+00
43,1.81139247236136E-01,2.67582000000000E+07,4.20000000000000E+00
44,1.90965561978959E-01,2.73953000000000E+07,4.30000000000000E+00
45,2.01216892624478E-01,2.80324000000000E+07,4.40000000000000E+00
46,2.11833444575140E-01,2.86695000000000E+07,4.50000000000000E+00
47,2.22921038160141E-01,2.93066000000000E+07,4.60000000000000E+00
48,2.34503155963478E-01,2.99437000000000E+07,4.70000000000000E+00
49,2.46553073888019E-01,3.05808000000000E+07,4.80000000000000E+00
50,2.56595469379987E-01,3.12179000000000E+07,4.90000000000000E+00
51,2.68977654623497E-01,3.18550000000000E+07,5.00000000000000E+00
52,2.82402847903943E-01,3.24921000000000E+07,5.10000000000000E+00
53,2.96348228768353E-01,3.31292000000000E+07,5.20000000000000E+00
54,3.10436317476055E-01,3.37663000000000E+07,5.30000000000000E+00
55,3.25041232393600E-01,3.44034000000000E+07,5.40000000000000E+00
56,3.40612042153025E-01,3.50405000000000E+07,5.50000000000000E+00
57,3.56760894757490E-01,3.56776000000000E+07,5.60000000000000E+00
58,3.73501264378797E-01,3.63147000000000E+07,5.70000000000000E+00
59,3.90850159900083E-01,3.69518000000000E+07,5.80000000000000E+00
60,4.08819240219876E-01,3.75889000000000E+07,5.90000000000000E+00
61,4.27402788324615E-01,3.82260000000000E+07,6.00000000000000E+00
62,4.46642077909403E-01,3.88631000000000E+07,6.10000000000000E+00
63,4.66561475280791E-01,3.95002000000000E+07,6.20000000000000E+00
64,4.87159740633797E-01,4.01373000000000E+07,6.30000000000000E+00
65,5.08454874986568E-01,4.07744000000000E+07,6.40000000000000E+00
66,5.27265825224702E-01,4.14115000000000E+07,6.50000000000000E+00
67,5.49315275893054E-01,4.20486000000000E+07,6.60000000000000E+00
68,5.72677569967446E-01,4.26857000000000E+07,6.70000000000000E+00
69,5.96803155749745E-01,4.33228000000000E+07,6.80000000000000E+00
70,6.21711100278132E-01,4.39599000000000E+07,6.90000000000000E+00
71,6.47421308459760E-01,4.45970000000000E+07,7.00000000000000E+00
72,6.73954442741887E-01,4.52341000000000E+07,7.10000000000000E+00
73,7.23881443400012E-01,4.58712000000000E+07,7.20000000000000E+00
74,7.29591551249867E-01,4.65083000000000E+07,7.30000000000000E+00
75,7.58713123688915E-01,4.71454000000000E+07,7.40000000000000E+00
76,7.88762580464935E-01,4.77825000000000E+07,7.50000000000000E+00
77,8.19752367188575E-01,4.84196000000000E+07,7.60000000000000E+00
78,8.51713472725637E-01,4.90567000000000E+07,7.70000000000000E+00
79,8.84672126385870E-01,4.96938000000000E+07,7.80000000000000E+00
80,9.18639590033943E-01,5.03309000000000E+07,7.90000000000000E+00
81,9.53681167033282E-01,5.09680000000000E+07,8.00000000000000E+00
82,9.89814216420940E-01,5.16051000000000E+07,8.10000000000000E+00
83,1.02707259075837E+00,5.22422000000000E+07,8.20000000000000E+00
84,1.06549423403095E+00,5.28793000000000E+07,8.30000000000000E+00
85,1.10511993091280E+00,5.35164000000000E+07,8.40000000000000E+00
86,1.14599369250389E+00,5.41535000000000E+07,8.50000000000000E+00
87,1.18816308044425E+00,5.47906000000000E+07,8.60000000000000E+00
88,1.23167981783769E+00,5.54277000000000E+07,8.70000000000000E+00
89,1.27660029011963E+00,5.60648000000000E+07,8.80000000000000E+00
90,1.32298607909725E+00,5.67019000000000E+07,8.90000000000000E+00
91,1.37090525781102E+00,5.73390000000000E+07,9.00000000000000E+00
92,1.42043777196940E+00,5.79761000000000E+07,9.10000000000000E+00
93,1.47180297159424E+00,5.86132000000000E+07,9.20000000000000E+00
94,1.52462111336900E+00,5.92503000000000E+07,9.30000000000000E+00
95,1.57916453920760E+00,5.98874000000000E+07,9.40000000000000E+00
96,1.63601743452509E+00,6.05245000000000E+07,9.50000000000000E+00
97,1.69490080999350E+00,6.11616000000000E+07,9.60000000000000E+00
98,1.75593449193347E+00,6.17987000000000E+07,9.70000000000000E+00
