grid,phi_e[V],distance[m],distance[Rj]
1,0.00000000000000E+00,1.82098302193330E+06,2.54711439312552E-02
2,-1.49144973875637E-01,9.88220771638443E+06,1.38228161422039E-01
3,-3.52367964673457E-01,1.79434324108356E+07,2.50985178912823E-01
4,-6.61743239462410E-01,2.60046571052867E+07,3.63742196403607E-01
5,-1.07230258333178E+00,3.40658817997378E+07,4.76499213894391E-01
6,-1.57903630531187E+00,4.21271064941889E+07,5.89256231385175E-01
7,-2.17206249869853E+00,5.01883311886401E+07,7.02013248875959E-01
8,-2.84143224665305E+00,5.82495558830912E+07,8.14770266366743E-01
9,-3.57643739835712E+00,6.63107805775423E+07,9.27527283857527E-01
10,-4.36578613377045E+00,7.43720052719935E+07,1.04028430134831E+00
11,-5.19331969668236E+00,8.24332299664446E+07,1.15304131883910E+00
12,-6.06035333086439E+00,9.04944546608957E+07,1.26579833632988E+00
13,-6.95037110210617E+00,9.85556793553468E+07,1.37855535382066E+00
14,-7.85256298404499E+00,1.06616904049798E+08,1.49131237131145E+00
15,-8.75453196490847E+00,1.14678128744249E+08,1.60406938880223E+00
16,-9.62699779956080E+00,1.22739353438700E+08,1.71682640629301E+00
17,-1.05070147047297E+01,1.30800578133151E+08,1.82958342378380E+00
18,-1.13574100382131E+01,1.38861802827602E+08,1.94234044127458E+00
19,-1.21567501928263E+01,1.46923027522054E+08,2.05509745876537E+00
20,-1.28794238377011E+01,1.54984252216505E+08,2.16785447625615E+00
21,-1.35927968039837E+01,1.63045476910956E+08,2.28061149374693E+00
22,-1.41994033827416E+01,1.71106701605407E+08,2.39336851123772E+00
23,-1.47609445995771E+01,1.79167926299858E+08,2.50612552872850E+00
24,-1.52680240876259E+01,1.87229150994309E+08,2.61888254621929E+00
25,-1.56838319239472E+01,1.95290375688760E+08,2.73163956371007E+00
26,-1.60198948874461E+01,2.03351600383211E+08,2.84439658120085E+00
27,-1.64063001866886E+01,2.11412825077663E+08,2.95715359869164E+00
28,-1.66835446010270E+01,2.19474049772114E+08,3.06991061618242E+00
29,-1.69384131337479E+01,2.27535274466565E+08,3.18266763367321E+00
30,-1.71814287015539E+01,2.35596499161016E+08,3.29542465116399E+00
31,-1.74153197803814E+01,2.43657723855467E+08,3.40818166865477E+00
32,-1.76387983708519E+01,2.51718948549918E+08,3.52093868614556E+00
33,-1.78437814379119E+01,2.59780173244369E+08,3.63369570363634E+00
34,-1.80463652070695E+01,2.67841397938820E+08,3.74645272112713E+00
35,-1.82574746529537E+01,2.75902622633272E+08,3.85920973861791E+00
36,-1.84556981681335E+01,2.83963847327723E+08,3.97196675610869E+00
37,-1.86350438191737E+01,2.92025072022174E+08,4.08472377359948E+00
38,-1.87951979702914E+01,3.00086296716625E+08,4.19748079109026E+00
39,-1.89355324113268E+01,3.08147521411076E+08,4.31023780858105E+00
40,-1.90563321141941E+01,3.16208746105527E+08,4.42299482607183E+00
41,-1.91561962737317E+01,3.24269970799978E+08,4.53575184356262E+00
42,-1.92334107109853E+01,3.32331195494430E+08,4.64850886105340E+00
43,-1.92878852177843E+01,3.40392420188881E+08,4.76126587854418E+00
44,-1.93165352814202E+01,3.48453644883332E+08,4.87402289603497E+00
45,-1.93163986405067E+01,3.56514869577783E+08,4.98677991352575E+00
46,-1.92829430238263E+01,3.64576094272234E+08,5.09953693101654E+00
47,-1.92158831812615E+01,3.72637318966685E+08,5.21229394850732E+00
48,-1.91032338508935E+01,3.80698543661137E+08,5.32505096599811E+00
49,-1.80408913222626E+01,3.88759768355588E+08,5.43780798348889E+00
50,2.01318145714447E+04,3.96820993050039E+08,5.55056500097967E+00
51,2.01359956787777E+04,4.04882217744490E+08,5.66332201847046E+00
52,2.01401767861107E+04,4.12943442438941E+08,5.77607903596124E+00
53,2.01443578934437E+04,4.21004667133392E+08,5.88883605345203E+00
54,2.01485390007767E+04,4.29065891827843E+08,6.00159307094281E+00
55,2.01507622099184E+04,4.37127116522295E+08,6.11435008843360E+00
56,2.01527201081096E+04,4.45188341216746E+08,6.22710710592438E+00
57,2.01533002763003E+04,4.53249565911197E+08,6.33986412341516E+00
58,2.01567079706486E+04,4.61310790605648E+08,6.45262114090595E+00
59,2.01611676751639E+04,4.69372015300099E+08,6.56537815839673E+00
60,2.01671263947697E+04,4.77433239994550E+08,6.67813517588752E+00
61,2.01752960375579E+04,4.85494464689002E+08,6.79089219337830E+00
62,2.01868687674780E+04,4.93555689383453E+08,6.90364921086909E+00
63,2.02039809007757E+04,5.01616914077904E+08,7.01640622835987E+00
64,2.02053128494297E+04,5.02120740621307E+08,7.02345354195305E+00
65,2.02066828844922E+04,5.02624567164710E+08,7.03050085554622E+00
66,2.02080925250926E+04,5.03128393708113E+08,7.03754816913939E+00
67,2.02095433208134E+04,5.03632220251517E+08,7.04459548273257E+00
68,2.02110369705899E+04,5.04136046794920E+08,7.05164279632574E+00
69,2.02125751848627E+04,5.04639873338323E+08,7.05869010991892E+00
70,2.02141599108533E+04,5.05143699881726E+08,7.06573742351209E+00
71,2.02157930204941E+04,5.05647526425130E+08,7.07278473710526E+00
72,2.02174766315519E+04,5.06151352968533E+08,7.07983205069844E+00
73,2.02192129625673E+04,5.06655179511936E+08,7.08687936429161E+00
74,2.02209959539905E+04,5.07159006055339E+08,7.09392667788479E+00
75,2.99997256229373E+04,5.07662832598742E+08,7.10097399147796E+00
76,2.99998073505623E+04,5.08166659142146E+08,7.10802130507113E+00
77,2.99998735544222E+04,5.08670485685549E+08,7.11506861866431E+00
78,2.99999370149785E+04,5.09174312228952E+08,7.12211593225748E+00
79,3.00000000000000E+04,5.09678138772355E+08,7.12916324585066E+00
