species,N[m^-3],Tperp[eV],Tpara[eV],charge,mass,injection number (by CCMC)
N:H+,2.3445d8,1.23d-1,1.23d-1,1.d0,1.67262189821d-27,255
N:He+,2.3445d8,1.23d-1,1.23d-1,1.d0,6.64556638280897d-27,255
N:N+,7.0335d9,1.23d-1,1.23d-1,1.d0,2.325779481662744d-26,255
N:O+,2.2395d11,1.23d-1,1.23d-1,1.d0,2.656676762004189d-26,255
N:e-,2.3445d11,1.58d-1,1.58d-1,-1.d0,9.1093837015d-31,255
S:H+,2.3445d8,1.23d-1,1.23d-1,1.d0,1.67262189821d-27,1
S:He+,2.3445d8,1.23d-1,1.23d-1,1.d0,6.64556638280897d-27,1
S:N+,7.0335d9,1.23d-1,1.23d-1,1.d0,2.325779481662744d-26,1
S:O+,2.2395d11,1.23d-1,1.23d-1,1.d0,2.656676762004189d-26,1
S:e-,2.3445d11,1.58d-1,1.58d-1,-1.d0,9.1093837015d-31,1
