species,N[m^-3],Tperp[eV],Tpara[eV],charge,mass,injection number (by CCMC(ionosphere, height=500km, Longitude=0, Latitude=74.446, year=2000, DOY=70)参考) (MV=251, CP=251)
N:H+,6.953d6,1.47d-1,1.23d-1,1.d0,1.67262189821d-27,501
N:He+,6.953d6,1.47d-1,1.23d-1,1.d0,6.64556638280897d-27,501
N:N+,3.89368d9,1.47d-1,1.23d-1,1.d0,2.325779481662744d-26,501
N:O+,1.35152414d11,1.47d-1,1.23d-1,1.d0,2.656676762004189d-26,501
N:e-,1.3906d11,2.21d-1,1.58d-1,-1.d0,9.1093837015d-31,501
S:H+,6.953d6,1.47d-1,1.23d-1,1.d0,1.67262189821d-27,1
S:He+,6.953d6,1.47d-1,1.23d-1,1.d0,6.64556638280897d-27,1
S:N+,3.89368d9,1.47d-1,1.23d-1,1.d0,2.325779481662744d-26,1
S:O+,1.35152414d11,1.47d-1,1.23d-1,1.d0,2.656676762004189d-26,1
S:e-,1.3906d11,2.21d-1,1.58d-1,-1.d0,9.1093837015d-31,1
eq:H+,3.d5,1.d3,1.d3,1.d0,1.67262189821d-27,251
eq:e-,3.d5,1.d3,1.d3,-1.d0,9.1093837015d-31,251
